portofentry,Port Name,City,Flag
MGC,MORGAN CITY, LA       ,Valid
NOL,NEW ORLEANS, LA       ,Valid
BOS,BOSTON, MA            ,Valid
GLO,GLOUCESTER, MA        ,Valid
BED,HANSCOM FIELD - BEDFORD, MA,Valid
LYN,LYNDEN, WA            ,Valid
ADW,ANDREWS AFB, MD,Valid
BAL,BALTIMORE, MD         ,Valid
MKG,MUSKEGON, MD,Valid
PAX,PATUXENT RIVER, MD    ,Valid
BGM,BANGOR, ME            ,Valid
BOO,BOOTHBAY HARBOR, ME   ,Valid
BWM,BRIDGEWATER, ME       ,Valid
BCK,BUCKPORT, ME          ,Valid
CLS,CALAIS, ME   ,Valid
CRB,CARIBOU, ME           ,Valid
COB,COBURN GORE, ME       ,Valid
EST,EASTCOURT, ME         ,Valid
EPT,EASTPORT MUNICIPAL, ME,Valid
EPM,EASTPORT, ME          ,Valid
FOR,FOREST CITY, ME       ,Valid
FTF,FORT FAIRFIELD, ME    ,Valid
FTK,FORT KENT, ME         ,Valid
HML,HAMIIN, ME            ,Valid
HTM,HOULTON, ME           ,Valid
JKM,JACKMAN, ME           ,Valid
KAL,KALISPEL, MT          ,Valid
LIM,LIMESTONE, ME         ,Valid
LUB,LUBEC, ME             ,Valid
MAD,MADAWASKA, ME         ,Valid
POM,PORTLAND, ME          ,Valid
RGM,RANGELEY, ME (BPS),Valid
SBR,SOUTH BREWER, ME      ,Valid
SRL,ST AURELIE, ME        ,Valid
SPA,ST PAMPILE, ME        ,Valid
VNB,VAN BUREN, ME         ,Valid
VCB,VANCEBORO, ME         ,Valid
AGN,ALGONAC, MI           ,Valid
ALP,ALPENA, MI            ,Valid
BCY,BAY CITY, MI          ,Valid
DET,DETROIT, MI           ,Valid
GRP,GRAND RAPIDS, MI,Valid
GRO,GROSSE ISLE, MI       ,Valid
ISL,ISLE ROYALE, MI       ,Valid
MRC,MARINE CITY, MI       ,Valid
MRY,MARYSVILLE, MI        ,Valid
PTK,OAKLAND COUNTY - PONTIAC, MI,Valid
PHU,PORT HURON, MI        ,Valid
RBT,ROBERTS LANDING, MI   ,Valid
SAG,SAGINAW, MI           ,Valid
SSM,SAULT STE. MARIE, MI  ,Valid
SCL,ST CLAIR, MI          ,Valid
YIP,WILLOW RUN - YPSILANTI, MI,Valid
BAU,BAUDETTE, MN          ,Valid
CAR,CARIBOU MUNICIPAL AIRPORT, MN,Valid
GTF,Collapsed into INT, MN,Valid
INL,Collapsed into INT, MN,Valid
CRA,CRANE LAKE, MN        ,Valid
MIC,CRYSTAL MUNICIPAL AIRPORT, MN,Valid
DUL,DULUTH, MN            ,Valid
ELY,ELY, MN               ,Valid
GPM,GRAND PORTAGE, MN     ,Valid
SVC,GRANT COUNTY - SILVER CITY, MN,Valid
INT,INTL FALLS, MN      ,Valid
LAN,LANCASTER, MN         ,Valid
MSP,MINN./ST PAUL, MN     ,Valid
LIN,NORTHERN SVC CENTER, MN   ,Valid
NOY,NOYES, MN             ,Valid
PIN,PINE CREEK, MN        ,Valid
48Y,PINECREEK BORDER ARPT, MN,Valid
RAN,RAINER, MN            ,Valid
RST,ROCHESTER, MN,Valid
ROS,ROSEAU, MN            ,Valid
SPM,ST PAUL, MN           ,Valid
WSB,WARROAD INTL, SPB,Valid
WAR,WARROAD, MN           ,Valid
KAN,KANSAS CITY, MO       ,Valid
SGF,SPRINGFIELD-BRANSON, MO,Valid
STL,ST LOUIS, MO          ,Valid
WHI,WHITETAIL, MT         ,Valid
WHM,WILD HORSE, MT        ,Valid
GPT,BILOXI REGIONAL, MS,Valid
GTR,GOLDEN TRIANGLE LOWNDES CNTY, MS,Valid
GUL,GULFPORT, MS          ,Valid
PAS,PASCAGOULA, MS        ,Valid
JAN,THOMPSON FIELD - JACKSON, MS,Valid
BIL,BILLINGS, MT          ,Valid
BTM,BUTTE, MT             ,Valid
CHF,CHIEF MT, MT          ,Valid
CTB,CUT BANK MUNICIPAL, MT,Valid
CUT,CUT BANK, MT          ,Valid
DLB,DEL BONITA, MT        ,Valid
EUR,EUREKA, MT (BPS),Valid
BZN,GALLATIN FIELD - BOZEMAN, MT,Valid
FCA,GLACIER NATIONAL PARK, MT,Valid
GGW,GLASGOW, MT           ,Valid
GRE,GREAT FALLS, MT       ,Valid
HVR,HAVRE, MT             ,Valid
HEL,HELENA, MT            ,Valid
LWT,LEWISTON, MT          ,Valid
MGM,MORGAN, MT            ,Valid
OPH,OPHEIM, MT            ,Valid
PIE,PIEGAN, MT            ,Valid
RAY,RAYMOND, MT           ,Valid
ROO,ROOSVILLE, MT         ,Valid
SCO,SCOBEY, MT            ,Valid
SWE,SWEETGTASS, MT        ,Valid
TRL,TRIAL CREEK, MT       ,Valid
TUR,TURNER, MT            ,Valid
WCM,WILLOW CREEK, MT      ,Valid
CLT,CHARLOTTE, NC         ,Valid
FAY,FAYETTEVILLE, NC,Valid
MRH,MOREHEAD CITY, NC     ,Valid
