portofentry,Port Name,City,Flag
5T6,No PORT Code (5T6),,Not_Valid
60,No PORT Code (60),,Not_Valid
SP0,No PORT Code (SP0),,Not_Valid
W55,No PORT Code (W55),,Not_Valid
X44,No PORT Code (X44),,Not_Valid
AUH,No PORT Code (AUH),,Not_Valid
RYY,No PORT Code (RYY),,Not_Valid
SUS,No PORT Code (SUS),,Not_Valid
74S,No PORT Code (74S),,Not_Valid
ATW,No PORT Code (ATW),,Not_Valid
CPX,No PORT Code (CPX),,Not_Valid
MTH,No PORT Code (MTH),,Not_Valid
PFN,No PORT Code (PFN),,Not_Valid
SCH,No PORT Code (SCH),,Not_Valid
ASI,No PORT Code (ASI),,Not_Valid
BKF,No PORT Code (BKF),,Not_Valid
DAY,No PORT Code (DAY),,Not_Valid
Y62,No PORT Code (Y62),,Not_Valid
AG,No PORT Code (AG),,Not_Valid
BCM,No PORT Code (BCM),,Not_Valid
DEC,No PORT Code (DEC),,Not_Valid
PLB,No PORT Code (PLB),,Not_Valid
CXO,No PORT Code (CXO),,Not_Valid
JBQ,No PORT Code (JBQ),,Not_Valid
JIG,No PORT Code (JIG),,Not_Valid
OGS,No PORT Code (OGS),,Not_Valid
TIW,No PORT Code (TIW),,Not_Valid
OTS,No PORT Code (OTS),,Not_Valid
AMT,No PORT Code (AMT),,Not_Valid
EGE,No PORT Code (EGE),,Not_Valid
GPI,No PORT Code (GPI),,Not_Valid
NGL,No PORT Code (NGL),,Not_Valid
OLM,No PORT Code (OLM),,Not_Valid
.GA,No PORT Code (.GA),,Not_Valid
CLX,No PORT Code (CLX),,Not_Valid
CP,No PORT Code (CP),,Not_Valid
FSC,No PORT Code (FSC),,Not_Valid
NK,No PORT Code (NK),,Not_Valid
ADU,No PORT Code (ADU),,Not_Valid
AKT,No PORT Code (AKT),,Not_Valid
LIT,No PORT Code (LIT),,Not_Valid
A2A,No PORT Code (A2A),,Not_Valid
OSN,No PORT Code (OSN),,Not_Valid
